Species3,Family3,Order3,BeakLengthCulmen,BeakLengthNares,BeakWidth,BeakDepth,TarsusLength,WingLength,KippsDistance,Secondary,HandWingIndex,TailLength,Mass,Habitat,TrophicLevel,TrophicNiche,PrimaryLifestyle
Accipiter albogularis,Accipitridae,Accipitriformes,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter badius,Accipitridae,Accipitriformes,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Shrubland,Carnivore,Vertivore,Insessorial
Accipiter bicolor,Accipitridae,Accipitriformes,26.5,14.8,9.2,13.5,57.5,231.8,46.4,189.6,19.8,188.4,287.5,Woodland,Carnivore,Vertivore,Generalist
Accipiter brachyurus,Accipitridae,Accipitriformes,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Forest,Carnivore,Vertivore,Insessorial
Accipiter brevipes,Accipitridae,Accipitriformes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Forest,Carnivore,Vertivore,Generalist
Accipiter butleri,Accipitridae,Accipitriformes,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Forest,Carnivore,Vertivore,Insessorial
Accipiter castanilius,Accipitridae,Accipitriformes,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Forest,Carnivore,Vertivore,Insessorial
Accipiter chilensis,Accipitridae,Accipitriformes,23.2,12.6,8,11.8,58.8,227,69.2,156.2,30.6,183.8,368,Woodland,Carnivore,Vertivore,Generalist
Accipiter chionogaster,Accipitridae,Accipitriformes,18.2,10.5,7.5,9.7,51.8,181,60.5,124.2,32.7,137,130.6,Forest,Carnivore,Vertivore,Generalist
Accipiter cirrocephalus,Accipitridae,Accipitriformes,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Forest,Carnivore,Vertivore,Generalist
Accipiter collaris,Accipitridae,Accipitriformes,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter cooperii,Accipitridae,Accipitriformes,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Woodland,Carnivore,Vertivore,Aerial
Accipiter erythrauchen,Accipitridae,Accipitriformes,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,Forest,Carnivore,Vertivore,Generalist
Accipiter erythronemius,Accipitridae,Accipitriformes,17.6,9.4,6.6,8.3,46.8,181.6,53.2,128.8,29,131.6,125,Forest,Carnivore,Vertivore,Generalist
Accipiter erythropus,Accipitridae,Accipitriformes,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,Forest,Carnivore,Vertivore,Insessorial
Accipiter fasciatus,Accipitridae,Accipitriformes,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,Forest,Carnivore,Vertivore,Generalist
Accipiter francesiae,Accipitridae,Accipitriformes,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,Forest,Carnivore,Invertivore,Insessorial
Accipiter gentilis,Accipitridae,Accipitriformes,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,Forest,Carnivore,Vertivore,Generalist
Accipiter griseiceps,Accipitridae,Accipitriformes,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter gularis,Accipitridae,Accipitriformes,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,Forest,Carnivore,Vertivore,Insessorial
Accipiter gundlachi,Accipitridae,Accipitriformes,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,Forest,Carnivore,Vertivore,Aerial
Accipiter haplochrous,Accipitridae,Accipitriformes,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,Forest,Carnivore,Vertivore,Insessorial
Accipiter henicogrammus,Accipitridae,Accipitriformes,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,Forest,Carnivore,Vertivore,Insessorial
Accipiter henstii,Accipitridae,Accipitriformes,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,Forest,Carnivore,Vertivore,Insessorial
Accipiter imitator,Accipitridae,Accipitriformes,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,Forest,Carnivore,Vertivore,Insessorial
Accipiter luteoschistaceus,Accipitridae,Accipitriformes,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,Forest,Carnivore,Vertivore,Insessorial
Accipiter madagascariensis,Accipitridae,Accipitriformes,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,Forest,Carnivore,Vertivore,Insessorial
Accipiter melanochlamys,Accipitridae,Accipitriformes,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Forest,Carnivore,Vertivore,Generalist
Accipiter melanoleucus,Accipitridae,Accipitriformes,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Forest,Carnivore,Vertivore,Generalist
Accipiter meyerianus,Accipitridae,Accipitriformes,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.5,Forest,Carnivore,Vertivore,Generalist
Accipiter minullus,Accipitridae,Accipitriformes,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,Forest,Carnivore,Vertivore,Generalist
Accipiter nanus,Accipitridae,Accipitriformes,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,Forest,Carnivore,Invertivore,Insessorial
Accipiter nisus,Accipitridae,Accipitriformes,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter novaehollandiae,Accipitridae,Accipitriformes,29.2,17.9,10.6,15.3,61.8,235.5,69.8,165,30,164.9,326.1,Forest,Carnivore,Vertivore,Insessorial
Accipiter ovampensis,Accipitridae,Accipitriformes,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,Shrubland,Carnivore,Vertivore,Aerial
Accipiter poliocephalus,Accipitridae,Accipitriformes,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter poliogaster,Accipitridae,Accipitriformes,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,Forest,Carnivore,Vertivore,Insessorial
Accipiter princeps,Accipitridae,Accipitriformes,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter rhodogaster,Accipitridae,Accipitriformes,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,Forest,Carnivore,Vertivore,Insessorial
Accipiter rufitorques,Accipitridae,Accipitriformes,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,Forest,Carnivore,Vertivore,Generalist
Accipiter rufiventris,Accipitridae,Accipitriformes,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,Forest,Carnivore,Vertivore,Aerial
Accipiter soloensis,Accipitridae,Accipitriformes,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter striatus,Accipitridae,Accipitriformes,19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.6,Forest,Carnivore,Vertivore,Aerial
Accipiter superciliosus,Accipitridae,Accipitriformes,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,Forest,Carnivore,Vertivore,Aerial
Accipiter tachiro,Accipitridae,Accipitriformes,18,15.3,9.8,12.3,61,222.8,55.6,161.8,25.7,180.3,290.2,Forest,Carnivore,Vertivore,Aerial
Accipiter toussenelii,Accipitridae,Accipitriformes,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.3,Forest,Carnivore,Vertivore,Insessorial
Accipiter trinotatus,Accipitridae,Accipitriformes,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,Forest,Carnivore,Vertivore,Insessorial
Accipiter trivirgatus,Accipitridae,Accipitriformes,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,Forest,Carnivore,Vertivore,Insessorial
Accipiter ventralis,Accipitridae,Accipitriformes,18.4,9.9,6.5,9.3,50.7,180,52.8,130,28.8,126.4,233,Forest,Carnivore,Vertivore,Generalist
Accipiter virgatus,Accipitridae,Accipitriformes,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,Forest,Carnivore,Vertivore,Generalist
Aegypius monachus,Accipitridae,Accipitriformes,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,Forest,Scavenger,Scavenger,Terrestrial
Aquila adalberti,Accipitridae,Accipitriformes,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,Woodland,Carnivore,Vertivore,Generalist
Aquila africanus,Accipitridae,Accipitriformes,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,Woodland,Carnivore,Vertivore,Generalist
Aquila audax,Accipitridae,Accipitriformes,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,Woodland,Carnivore,Vertivore,Generalist
Aquila chrysaetos,Accipitridae,Accipitriformes,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,Grassland,Carnivore,Vertivore,Aerial
Aquila clanga,Accipitridae,Accipitriformes,50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,Wetland,Carnivore,Vertivore,Generalist
Aquila fasciatus,Accipitridae,Accipitriformes,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,Rock,Carnivore,Vertivore,Aerial
Aquila gurneyi,Accipitridae,Accipitriformes,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,Forest,Carnivore,Vertivore,Aerial
Aquila hastata,Accipitridae,Accipitriformes,44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.4,Woodland,Carnivore,Vertivore,Generalist
Aquila heliaca,Accipitridae,Accipitriformes,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,Woodland,Carnivore,Vertivore,Generalist
Aquila nipalensis,Accipitridae,Accipitriformes,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,Grassland,Carnivore,Vertivore,Aerial
Aquila pomarina,Accipitridae,Accipitriformes,47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.4,Forest,Carnivore,Vertivore,Generalist
Aquila rapax,Accipitridae,Accipitriformes,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,Shrubland,Carnivore,Vertivore,Generalist
Aquila verreauxii,Accipitridae,Accipitriformes,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,Rock,Carnivore,Vertivore,Aerial
Aquila wahlbergi,Accipitridae,Accipitriformes,39.3,23.9,12.1,17.4,71.1,413.8,174.8,235.5,42.6,216.8,640,Shrubland,Carnivore,Vertivore,Insessorial
Aviceda cuculoides,Accipitridae,Accipitriformes,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,Forest,Carnivore,Vertivore,Insessorial
Aviceda jerdoni,Accipitridae,Accipitriformes,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,Forest,Carnivore,Omnivore,Insessorial
Aviceda leuphotes,Accipitridae,Accipitriformes,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,Forest,Carnivore,Invertivore,Insessorial
Aviceda madagascariensis,Accipitridae,Accipitriformes,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,Forest,Carnivore,Vertivore,Insessorial
Aviceda subcristata,Accipitridae,Accipitriformes,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,Forest,Carnivore,Omnivore,Insessorial
Busarellus nigricollis,Accipitridae,Accipitriformes,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.1,Forest,Carnivore,Aquatic predator,Insessorial
Butastur indicus,Accipitridae,Accipitriformes,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,Woodland,Carnivore,Vertivore,Insessorial
Butastur liventer,Accipitridae,Accipitriformes,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,338,Woodland,Carnivore,Vertivore,Insessorial
Butastur rufipennis,Accipitridae,Accipitriformes,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,Woodland,Carnivore,Invertivore,Insessorial
Butastur teesa,Accipitridae,Accipitriformes,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,Woodland,Carnivore,Vertivore,Insessorial
Buteo albicaudatus,Accipitridae,Accipitriformes,37.4,22.3,13.8,16.4,87.3,427,148.1,279,34.8,199,885,Grassland,Carnivore,Vertivore,Generalist
Buteo albigula,Accipitridae,Accipitriformes,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,Forest,Carnivore,Vertivore,Generalist
Buteo albonotatus,Accipitridae,Accipitriformes,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,Forest,Carnivore,Vertivore,Aerial
Buteo archeri,Accipitridae,Accipitriformes,40.6,24.4,13,18.5,87.4,387,128.5,259.2,33.1,175.6,1099.2,Woodland,Carnivore,Vertivore,Insessorial
Buteo augur,Accipitridae,Accipitriformes,43.9,24.5,13.7,19.3,90.4,423.1,129.7,295.8,30.5,195.6,1099.2,Woodland,Carnivore,Vertivore,Insessorial
Buteo auguralis,Accipitridae,Accipitriformes,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,Forest,Carnivore,Vertivore,Insessorial
Buteo brachypterus,Accipitridae,Accipitriformes,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,Forest,Carnivore,Vertivore,Insessorial
Buteo brachyurus,Accipitridae,Accipitriformes,31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,Forest,Carnivore,Vertivore,Aerial
Buteo buteo,Accipitridae,Accipitriformes,35.6,21.1,12.5,16.6,75.7,374.6,143.8,231.2,38.2,204.1,759.1,Grassland,Carnivore,Vertivore,Insessorial
Buteo galapagoensis,Accipitridae,Accipitriformes,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,Woodland,Carnivore,Vertivore,Aerial
Buteo hemilasius,Accipitridae,Accipitriformes,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,Grassland,Carnivore,Vertivore,Generalist
Buteo jamaicensis,Accipitridae,Accipitriformes,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,Woodland,Carnivore,Vertivore,Insessorial
Buteo lagopus,Accipitridae,Accipitriformes,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,Grassland,Carnivore,Vertivore,Insessorial
Buteo leucorrhous,Accipitridae,Accipitriformes,29,17,9.8,14.2,62.6,241,65.5,174.2,27.3,171.6,290,Forest,Carnivore,Vertivore,Insessorial
Buteo lineatus,Accipitridae,Accipitriformes,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,Woodland,Carnivore,Vertivore,Aerial
Buteo magnirostris,Accipitridae,Accipitriformes,26.4,17.4,10.4,13.4,61.5,220.9,64.9,164.6,28,159.1,269,Forest,Carnivore,Vertivore,Insessorial
Buteo nitidus,Accipitridae,Accipitriformes,31.6,19.3,11.3,15.9,69.3,253.2,76.2,188,28.8,167.7,519,Forest,Carnivore,Vertivore,Insessorial
Buteo oreophilus,Accipitridae,Accipitriformes,34.7,18.8,11.4,15.2,69.7,345.9,127.2,218.7,36.7,183,700,Forest,Carnivore,Vertivore,Insessorial
Buteo platypterus,Accipitridae,Accipitriformes,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,Forest,Carnivore,Vertivore,Insessorial
Buteo polyosoma,Accipitridae,Accipitriformes,36.3,21.1,13,18.3,83.4,402,153.3,249.8,38.1,192.8,782.6,Shrubland,Carnivore,Vertivore,Aerial
Buteo regalis,Accipitridae,Accipitriformes,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,Grassland,Carnivore,Vertivore,Generalist
Buteo ridgwayi,Accipitridae,Accipitriformes,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,Forest,Carnivore,Vertivore,Insessorial
Buteo rufinus,Accipitridae,Accipitriformes,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,Grassland,Carnivore,Vertivore,Generalist
Buteo rufofuscus,Accipitridae,Accipitriformes,39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,Grassland,Carnivore,Vertivore,Generalist
Buteo solitarius,Accipitridae,Accipitriformes,31.8,20.4,13.2,15.9,72.7,270.2,92.3,178,34.1,160.5,500.9,Forest,Carnivore,Vertivore,Insessorial
Buteo swainsoni,Accipitridae,Accipitriformes,35.3,21,13.6,16.6,60.7,383.7,175.2,201.8,46.6,193.6,946.6,Grassland,Carnivore,Vertivore,Insessorial
Buteo ventralis,Accipitridae,Accipitriformes,37.2,23.2,13,19,76.8,359,118.4,240.6,33,221.5,1190.5,Forest,Carnivore,Vertivore,Insessorial
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,36.1,23.3,11.2,16,73.3,316.2,78.8,237.5,24.9,147.2,657.6,Woodland,Carnivore,Aquatic predator,Insessorial
Buteogallus anthracinus,Accipitridae,Accipitriformes,39.6,25.1,12.9,17.5,78.6,355.2,106,239.5,30.7,206.2,975.1,Woodland,Carnivore,Aquatic predator,Insessorial
Buteogallus gundlachii,Accipitridae,Accipitriformes,39.6,24.4,12.3,17.3,85.2,348.1,112.6,235.6,32.4,190,975.1,Woodland,Carnivore,Omnivore,Insessorial
Buteogallus meridionalis,Accipitridae,Accipitriformes,36,24.2,11.6,18.1,93.4,416.4,130.9,287.4,31.1,217.4,808,Grassland,Carnivore,Vertivore,Insessorial
Buteogallus urubitinga,Accipitridae,Accipitriformes,46,29.2,14.6,21.9,118.4,399.7,87.3,309.4,22,255.6,1152.9,Woodland,Carnivore,Vertivore,Insessorial
Chelictinia riocourii,Accipitridae,Accipitriformes,17.7,11.6,8.6,9.1,28.2,240.2,136.2,108.5,55.7,192,110,Shrubland,Carnivore,Invertivore,Aerial
Chondrohierax uncinatus,Accipitridae,Accipitriformes,36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.1,Forest,Carnivore,Invertivore,Insessorial
Chondrohierax wilsonii,Accipitridae,Accipitriformes,38.4,30.4,11.8,20.6,23,244,63.5,180.5,26,185,286.1,Forest,Carnivore,Invertivore,Insessorial
Circaetus beaudouini,Accipitridae,Accipitriformes,45.6,33.5,15.1,22.7,79.3,501.8,216.8,280.5,43.5,259.6,1500,Woodland,Carnivore,Vertivore,Insessorial
Circaetus cinerascens,Accipitridae,Accipitriformes,42.2,29,13.5,21.7,68.1,379.5,115.2,264.2,30.4,220.5,1126,Forest,Carnivore,Vertivore,Insessorial
Circaetus cinereus,Accipitridae,Accipitriformes,54.7,40.6,15.8,28.6,94.3,517.8,222,295.2,42.9,254,2048,Shrubland,Carnivore,Vertivore,Insessorial
Circaetus fasciolatus,Accipitridae,Accipitriformes,39.8,27.7,13.9,23,71.7,362.2,101.5,260.8,28,227,1013.6,Woodland,Carnivore,Vertivore,Insessorial
Circaetus gallicus,Accipitridae,Accipitriformes,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,Woodland,Carnivore,Vertivore,Aerial
Circaetus pectoralis,Accipitridae,Accipitriformes,46.7,33.8,14.6,23.1,83.8,527.8,229,303.5,43,259.4,1500,Woodland,Carnivore,Vertivore,Generalist
Circus aeruginosus,Accipitridae,Accipitriformes,37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,Wetland,Carnivore,Vertivore,Aerial
Circus approximans,Accipitridae,Accipitriformes,39.5,21.9,11.9,16.4,89.3,406.9,181.9,225,44.7,233.2,746.2,Wetland,Carnivore,Vertivore,Aerial
Circus assimilis,Accipitridae,Accipitriformes,36.1,20.2,11.2,16.2,95.2,421.6,191.6,234,45,271.1,558.6,Grassland,Carnivore,Vertivore,Aerial
Circus buffoni,Accipitridae,Accipitriformes,41.4,20.9,12.7,16.6,85.3,436,210,226,48.2,265,507.4,Grassland,Carnivore,Vertivore,Aerial
Circus cinereus,Accipitridae,Accipitriformes,29.8,15.7,9.3,12.9,67.5,344.5,154.5,194.7,44.3,240.4,399.7,Grassland,Carnivore,Vertivore,Aerial
Circus cyaneus,Accipitridae,Accipitriformes,30.6,16.6,9.9,13.1,76.5,355,159.6,198,44.7,172.3,393,Grassland,Carnivore,Vertivore,Aerial
Circus macrosceles,Accipitridae,Accipitriformes,37.4,20.8,11.6,16.1,92.2,420.9,201.7,220.8,47.8,242.7,663.6,Grassland,Carnivore,Vertivore,Aerial
Circus macrourus,Accipitridae,Accipitriformes,29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,Grassland,Carnivore,Vertivore,Aerial
Circus maillardi,Accipitridae,Accipitriformes,37.4,19.9,11.1,16.6,83.5,353.2,144,214.8,40.2,229,663.6,Forest,Carnivore,Vertivore,Aerial
Circus maurus,Accipitridae,Accipitriformes,31.7,17,10.6,13.5,71.9,352.4,151.2,203.5,42.6,249.2,509,Shrubland,Carnivore,Vertivore,Aerial
Circus melanoleucos,Accipitridae,Accipitriformes,29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,Grassland,Carnivore,Vertivore,Aerial
Circus pygargus,Accipitridae,Accipitriformes,26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,Grassland,Carnivore,Vertivore,Aerial
Circus ranivorus,Accipitridae,Accipitriformes,35.4,18.9,11.1,14.1,84.5,363.2,163.2,207.5,44,226.8,507,Wetland,Carnivore,Vertivore,Aerial
Circus spilonotus,Accipitridae,Accipitriformes,36.4,20.5,11.9,15.1,87.5,390.9,160.2,230.4,40.9,228.2,558.8,Wetland,Carnivore,Vertivore,Aerial
Dryotriorchis spectabilis,Accipitridae,Accipitriformes,36.5,27.6,13,21.3,65.8,290.5,77,213.5,26.5,240.2,697,Forest,Carnivore,Vertivore,Insessorial
Elanoides forficatus,Accipitridae,Accipitriformes,29.4,19,10.2,12.3,33.5,412.8,189.1,214.7,46.9,279.2,416.2,Forest,Carnivore,Invertivore,Generalist
Elanus axillaris,Accipitridae,Accipitriformes,25.3,15.5,9,11.4,38.8,288.4,153,135.2,53.1,136.8,270.1,Grassland,Carnivore,Vertivore,Aerial
Elanus caeruleus,Accipitridae,Accipitriformes,30.9,16,9.2,11.3,32.1,286.3,132.1,160.2,45.2,127.7,259.8,Grassland,Carnivore,Vertivore,Aerial
Elanus leucurus,Accipitridae,Accipitriformes,25.3,15.3,8.8,10.9,31.8,294,120.3,168.4,41.5,170.3,346,Human Modified,Carnivore,Vertivore,Aerial
Elanus scriptus,Accipitridae,Accipitriformes,26.2,16.2,11.8,12,38.3,302.2,148.8,153.5,49.2,139.8,316,Grassland,Carnivore,Vertivore,Aerial
Erythrotriorchis buergersi,Accipitridae,Accipitriformes,33.7,20.3,12.8,18.2,75.2,310.7,105.5,205.2,34,238.7,575,Forest,Carnivore,Vertivore,Generalist
Erythrotriorchis radiatus,Accipitridae,Accipitriformes,34.8,20.7,11.9,17.4,74.5,387.2,161.8,225.5,41.8,250,887.4,Forest,Carnivore,Vertivore,Aerial
Eutriorchis astur,Accipitridae,Accipitriformes,40.3,24.8,11.6,19.5,84,318.5,74.2,244.3,23.3,287.5,700,Forest,Carnivore,Vertivore,Insessorial
Gampsonyx swainsonii,Accipitridae,Accipitriformes,16.2,10.4,7.1,8.4,26,147.7,55.9,96.8,36.5,97.9,92.9,Forest,Carnivore,Vertivore,Insessorial
Geranoaetus melanoleucus,Accipitridae,Accipitriformes,50.5,31,15.4,23,98.2,496.2,182.8,313.5,36.6,210.5,2378.6,Shrubland,Carnivore,Vertivore,Aerial
Geranospiza caerulescens,Accipitridae,Accipitriformes,25.9,16.5,9.6,12.9,71.7,269.1,65.1,205.4,24.4,211.4,302.5,Woodland,Carnivore,Vertivore,Insessorial
Gypaetus barbatus,Accipitridae,Accipitriformes,78.2,46.6,20.8,28.1,103.6,760.6,370.2,378,49.5,468,5695,Rock,Scavenger,Scavenger,Terrestrial
Gypohierax angolensis,Accipitridae,Accipitriformes,57.5,41,14.1,23.3,77.3,419,127.3,296.6,30,196.8,1600,Forest,Herbivore,Frugivore,Insessorial
Gyps africanus,Accipitridae,Accipitriformes,61.3,44,20.5,30.5,95.7,578.4,225,349.2,39.2,224.6,5433,Shrubland,Scavenger,Scavenger,Terrestrial
Gyps bengalensis,Accipitridae,Accipitriformes,64.6,47.4,22.7,32.5,99.1,551.6,214,337.8,38.8,213.8,4385,Grassland,Scavenger,Scavenger,Terrestrial
Gyps coprotheres,Accipitridae,Accipitriformes,81.2,53.6,24.9,36.5,104.2,687.2,252.2,421.2,37.5,269.4,8177,Grassland,Scavenger,Scavenger,Terrestrial
Gyps fulvus,Accipitridae,Accipitriformes,78.8,50.5,23.8,33.8,109.9,687.2,267.5,415.8,39.2,291.2,7436,Grassland,Scavenger,Scavenger,Terrestrial
Gyps himalayensis,Accipitridae,Accipitriformes,82.5,55.2,23.5,34,115.6,759.8,269.5,490.2,35.5,339,9798,Rock,Scavenger,Scavenger,Terrestrial
Gyps indicus,Accipitridae,Accipitriformes,71.3,44.6,20.5,29.7,99.7,585.6,223,360,38.3,235.2,5515,Grassland,Scavenger,Scavenger,Terrestrial
Gyps rueppellii,Accipitridae,Accipitriformes,77.9,51.5,23,32.5,105.7,627.8,236,391.8,37.6,235.8,7400,Grassland,Scavenger,Scavenger,Terrestrial
Gyps tenuirostris,Accipitridae,Accipitriformes,75.6,49,20,29.1,104.1,592.2,220.5,371.8,37.2,217.2,5515,Woodland,Scavenger,Scavenger,Terrestrial
Haliaeetus albicilla,Accipitridae,Accipitriformes,74.1,46.1,22.9,33.9,95,599.5,227.2,370.9,38,294.2,4729.3,Rock,Carnivore,Aquatic predator,Aerial
Haliaeetus leucocephalus,Accipitridae,Accipitriformes,76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,Wetland,Carnivore,Omnivore,Generalist
Haliaeetus leucogaster,Accipitridae,Accipitriformes,71.3,39.2,18.5,24.9,86,556.7,231.8,330.2,41.3,253.3,2827,Coastal,Carnivore,Aquatic predator,Aerial
Haliaeetus leucoryphus,Accipitridae,Accipitriformes,63.6,39.1,19.3,28.3,95.3,566.6,241,322.8,42.8,290.3,2885.9,Wetland,Carnivore,Aquatic predator,Aerial
Haliaeetus pelagicus,Accipitridae,Accipitriformes,90.6,60.3,28.9,47,96.3,598.5,186.2,412.2,31.1,333.6,7757,Wetland,Carnivore,Aquatic predator,Generalist
